sl.no,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,class
1,-2.191344,1.836105,-0.723019,-0.232847,-0.688916,0.381181,0
2,-2.363008,1.90448,-1.155867,-0.057052,-0.607515,0.339946,0
3,-2.559274,1.177604,-1.169257,0.08624,0.302249,-0.259253,0
4,-2.081134,-1.058971,-0.112989,0.024963,0.770023,-0.537816,0
5,-2.415788,-2.580961,0.902503,0.011223,0.471664,-0.478298,0
6,-2.323046,-2.045872,0.742231,-0.274712,-0.026926,-0.468334,0
7,-1.249245,-0.965344,0.526157,-0.381076,-0.086629,-0.465173,0
8,-0.232958,0.864321,0.564026,-0.398807,-0.165116,0.046977,0
9,0.908643,3.891206,0.264747,0.055991,-0.037187,0.717413,0
10,1.155505,3.62122,-0.097447,-0.003914,0.164662,0.504051,0
11,-1.176092,-1.48612,-0.371039,0.617103,0.61128,-0.168299,0
12,1.032621,-2.368456,-0.34914,0.616693,0.589572,0.729103,0
13,-0.954839,-1.16164,0.342594,0.347927,0.668144,0.119465,0
14,-0.209684,0.617911,0.360474,-0.040771,0.122977,0.23329,0
15,0.243474,2.572667,0.240425,-0.140757,-0.075635,0.282994,0
16,0.114113,1.830503,0.269315,-0.168518,-0.117028,0.172596,0
17,-0.070265,0.303063,0.121501,-0.215636,-0.261051,-0.198089,0
18,-0.152581,-0.344853,-0.016044,-0.172969,-0.305012,-0.131866,0
19,-0.053948,-0.111457,-0.126749,-0.13263,-0.283801,-0.101411,0
20,0.246177,0.677916,-0.121391,-0.20119,-0.406506,0.069287,0
21,0.529619,1.17072,-0.262116,-0.181012,-0.345921,-0.352976,0
22,0.514643,0.783579,-0.403799,-0.071891,-0.276574,-0.238028,0
23,0.57734,1.137405,-0.230762,0.01525,-0.228477,-0.012278,0
24,0.861193,1.14624,0.243363,0.088969,-0.232338,-0.026653,0
25,0.97399,0.177544,0.767753,0.231141,-0.281986,-0.119009,0
26,1.752664,-0.938806,0.877172,0.459185,-0.227363,0.009371,0
27,3.082124,-2.053972,0.213839,0.432482,0.230402,-0.30408,0
28,2.951559,-2.401046,-0.522633,-0.099522,0.565033,-0.088813,0
29,2.477381,-3.217533,-0.522762,-0.20196,0.817292,0.319741,0
30,2.169022,-3.332028,-0.394446,-0.174255,0.945768,0.343922,0
31,1.676848,-2.704847,-0.167952,-0.173927,0.517329,0.50723,0
32,1.197322,-0.64933,0.097393,-0.207716,0.18724,0.039718,0
33,0.461054,0.236614,0.294077,0.034259,0.005447,0.024787,0
34,-0.509487,1.119521,0.387647,-0.003672,-0.046747,0.167039,0
35,-1.164936,1.258219,0.370073,-0.059837,-0.197743,0.231959,0
36,-1.523071,1.166398,0.199978,-0.127299,-0.411272,0.276911,0
37,-1.831462,1.368788,-0.062013,-0.180876,-0.462823,0.268127,0
38,-2.163197,1.753756,-0.407723,-0.233845,-0.476152,0.258144,0
39,-2.424272,1.837482,-0.872194,-0.069508,-0.29829,0.058543,0
40,-2.361535,1.094702,-0.855849,-0.021552,-0.086104,-0.139479,0
41,-1.824979,-1.244275,-0.082121,0.002887,0.414801,-0.347947,0
42,-2.042674,-2.942201,0.607538,-0.050431,-0.042731,-0.278764,0
43,-2.368206,-2.902992,0.674648,-0.135627,-0.113129,-0.294317,0
44,-1.747215,-1.39817,0.506142,-0.270102,-0.082337,-0.208644,0
45,-0.984627,0.875855,0.462621,-0.359165,0.058825,-0.095119,0
46,-0.437241,1.827424,0.451338,-0.457214,0.117582,-0.283957,0
47,-0.128552,0.842496,0.337252,-0.515434,0.108046,-0.222442,0
48,1.354766,2.114336,-0.124034,0.030138,0.04304,0.591597,0
49,1.539977,2.171449,-0.447553,0.109126,0.125269,0.254583,0
50,-0.519754,-1.170027,-0.333745,0.672529,0.181035,-0.369582,0
51,0.235562,-1.867209,-0.066929,0.454618,0.351312,0.123061,0
52,-0.854453,-1.080204,0.403012,0.339004,0.261824,0.080428,0
53,-0.932127,0.629868,0.654388,0.129615,0.417652,0.08018,0
54,-0.601694,1.571247,0.71531,0.004529,0.583124,-0.540186,0
55,0.526795,1.429039,0.40184,-0.229553,0.182979,-0.128059,0
56,0.515339,1.657117,-0.147598,-0.239507,-0.182609,0.034952,0
57,0.547082,0.490104,-0.307182,-0.199646,-0.270328,-0.044304,0
58,0.122894,-0.765732,-0.236965,-0.016165,-0.357374,-0.131799,0
59,0.017405,-0.991023,-0.016292,0.093302,-0.238328,-0.223796,0
60,0.102247,0.182214,0.084279,0.017671,-0.302253,-0.057349,0
61,0.233184,1.118883,-0.101878,-0.066735,-0.38759,-0.043279,0
62,0.278673,1.06522,-0.307658,0.077181,-0.231634,-0.153286,0
63,0.354672,0.055757,0.054157,0.165997,-0.141028,-0.24354,0
64,0.260288,-0.946462,0.35068,0.254073,-0.086079,-0.273761,0
65,0.54807,-1.331684,0.265589,0.456122,-0.128946,-0.208414,0
66,1.207847,-1.640213,-0.139604,0.463422,0.068928,-0.109719,0
67,1.786802,-2.754997,0.017556,0.120009,0.295816,-0.00049,0
68,2.379507,-2.572031,-0.164409,-0.1627,0.403385,0.040324,0
69,2.371099,-2.64839,-0.508337,-0.24458,0.646165,0.151391,0
70,1.928188,-3.273822,-0.628134,-0.359701,0.822587,0.349763,0
71,1.550399,-2.656384,-0.461717,-0.236547,0.415775,0.381902,0
72,1.038338,-1.643646,0.066452,-0.25199,0.097718,0.260814,0
73,0.610959,-0.827243,0.069898,0.066924,0.058561,0.143526,0
